year,month,route_id,ridership
2020,5,45,1100
2020,5,46,1823
2020,5,47,7116
2020,5,48,2154
2020,5,49,658
2020,5,50,484
2020,5,52,5233
2020,5,53,769
2020,5,54,2499
2020,5,55,1976
2020,5,56,3921
2020,5,57,2579
2020,5,58,2458
2020,5,59,1199
2020,5,60,6018
2020,5,61,1230
2020,5,62,37
2020,5,64,2330
2020,5,65,2847
2020,5,66,4015
2020,5,67,819
2020,5,68,975
2020,5,70,2135
2020,5,73,706
2020,5,75,1029
2020,5,77,174
2020,5,78,10
2020,5,79,1373
2020,5,80,55
2020,5,84,978
2020,5,88,330
2020,5,89,575
2020,5,90,154
2020,5,92,73
2020,5,93,467
2020,5,94,97
2020,5,95,160
2020,5,96,479
2020,5,97,317
2020,5,98,206
2020,5,99,305
2020,5,D1,460
2020,5,D2,466
2020,5,103,254
2020,5,104,1177
2020,5,105,391
2020,5,106,330
2020,5,107,355
2020,5,108,2214
2020,5,109,2095
2020,5,110,747
2020,5,111,438
2020,5,112,349
2020,5,113,3530
2020,5,114,921
2020,5,115,293
2020,5,117,986
2020,5,118,121
2020,5,119,293
2020,5,120,175
2020,5,123,231
2020,5,124,615
2020,5,125,546
2020,5,126,150
2020,5,127,106
2020,5,128,104
2020,5,129,375
2020,5,130,170
2020,5,131,203
2020,5,132,133
2020,5,133,24
2020,5,139,156
2020,5,150,2
2020,5,201,39
2020,5,204,104
2020,5,206,24
2020,5,310,177
2020,5,311,90
2020,5,47M,309
2020,5,BLVDDIR,1597
2020,5,B1 OWL,759
2020,5,63,6441
2020,5,71,1736
2020,5,41,820
2020,5,K,3444
2020,5,51,1927
2020,5,LUCYGO,107
2020,5,LUCYGR,77
2020,5,L1 OWL,531
2020,5,82,3769
2020,5,81,1802
2020,6,1,1113
2020,6,2,1504
2020,6,3,3625
2020,6,4,3012
2020,6,5,1526
2020,6,6,2848
2020,6,7,2447
2020,6,8,598
2020,6,9,1447
2020,6,T1,2392
2020,6,T4,6508
2020,6,12,871
2020,6,T3,4655
2020,6,14,3020
2020,6,G1,2395
2020,6,16,4065
2020,6,17,3688
2020,6,18,6107
2020,6,19,390
2020,6,20,1587
2020,6,21,4007
2020,6,22,2053
2020,6,23,7691
2020,6,24,840
2020,6,25,2024
2020,6,26,3801
2020,6,27,1123
2020,6,28,459
2020,6,29,1269
2020,6,30,482
2020,6,31,1810
2020,6,32,1313
2020,6,33,4580
2020,6,T2,3943
2020,6,35,66
2020,6,T5,6167
2020,6,37,1428
2020,6,38,966
2020,6,39,794
2020,6,40,3242
2020,6,42,3658
2020,6,43,689
2020,6,44,947
2020,6,45,1645
2020,6,46,2137
2020,6,47,7449
2020,6,48,2755
2020,6,49,1210
2020,6,50,760
2020,6,52,5771
2020,6,53,962
2020,6,54,2665
2020,6,55,2547
2020,6,56,4310
2020,6,57,3158
2020,6,58,2946
2020,6,59,1893
2020,6,60,5193
2020,6,61,1781
2020,6,62,46
2020,6,64,2486
2020,6,65,3646
2020,6,66,4613
2020,6,67,1001
2020,6,68,1298
2020,6,70,2503
2020,6,73,902
2020,6,75,1171
2020,6,77,270
2020,6,78,9
2020,6,79,1800
2020,6,80,71
2020,6,84,1050
2020,6,88,416
2020,6,89,816
2020,6,90,211
2020,6,92,86
2020,6,93,589
2020,6,94,140
2020,6,95,225
2020,6,96,566
2020,6,97,391
2020,6,98,327
2020,6,99,485
2020,6,D1,959
2020,6,D2,972
2020,6,103,400
2020,6,104,1321
2020,6,105,579
2020,6,106,478
2020,6,107,455
2020,6,108,2619
2020,6,109,2258
2020,6,110,888
2020,6,111,545
2020,6,112,370
2020,6,113,3643
2020,6,114,975
2020,6,115,447
2020,6,117,1031
2020,6,118,152
2020,6,119,317
2020,6,120,149
2020,6,123,424
2020,6,124,651
2020,6,125,763
2020,6,126,219
2020,6,127,145
2020,6,128,172
2020,6,129,448
2020,6,130,214
2020,6,131,297
2020,6,132,181
2020,6,133,17
2020,6,139,178
2020,6,150,8
2020,6,201,25
2020,6,204,127
2020,6,206,34
2020,6,310,210
