year,month,route,ridership
2019,11,206,14009
2019,11,21,219509
2019,11,22,423883
2019,11,24,52499
2019,11,26,80969
2019,11,28,136250
2019,11,29,271693
2019,11,3,395062
2019,11,30,68871
2019,11,31,16252
2019,11,34,117825
2019,11,35,115112
2019,11,36,325718
2019,11,37,30400
2019,11,39,43852
2019,11,4,475438
2019,11,43,32929
2019,11,44,73050
2019,11,47,237445
2019,11,48,18000
2019,11,49,417168
2019,11,49B,129040
2019,11,5,11845
2019,11,50,240051
2019,11,51,31907
2019,11,52,296587
2019,11,52A,92554
2019,11,53,445833
2019,11,53A,166943
2019,11,54,250003
2019,11,54A,13886
2019,11,54B,69828
2019,11,55,233849
2019,11,55A,5696
2019,11,55N,11015
2019,11,56,215092
2019,11,57,54822
2019,11,59,72230
2019,11,6,244858
2019,11,60,278855
2019,11,62,252449
2019,11,62H,20602
2019,11,63,374947
2019,11,63W,34306
2019,11,65,196085
2019,11,66,536531
2019,11,67,240855
2019,11,68,27099
2019,11,7,110963
2019,11,70,202633
2019,11,71,216794
2019,11,72,356462
2019,11,73,129000
2019,11,74,298017
2019,11,75,172963
2019,11,76,276827
2019,11,77,469803
2019,11,78,189526
2019,11,79,609966
2019,11,8,554648
2019,11,80,261512
2019,11,81,284584
2019,11,81W,38081
2019,11,82,418906
2019,11,84,84250
2019,11,85,227157
2019,11,85A,10844
2019,11,86,50544
2019,11,87,259934
