ridership,daytype,date,route,month_beginning,avg_weekday_rides,monthtotal,avg_sunday_holiday_rides,avg_saturday_rides,routename
2311,W,2001-01-03,24,2001-01-01,3893.4,85655.0,0.0,0.0,Wentworth
3450,W,2001-01-03,84,2001-01-01,4357.5,111265.0,1145.6,2418.1,Peterson
4994,W,2001-01-03,52A,2001-01-01,5919.1,154232.0,1925.5,3596.1,South Kedzie
1336,W,2001-01-04,106,2001-01-01,2317.8,55265.0,398.4,570.3,East 103rd
16697,W,2001-01-02,3,2001-01-01,21406.5,567413.0,8725.3,13210.7,King Drive
2007,W,2001-01-04,37,2001-01-01,2500.6,55014.0,0.0,0.0,Sedgwick
19796,W,2001-01-03,49,2001-01-01,23732.1,666662.0,12432.2,20598.9,Western
255,W,2001-01-05,19,2001-01-01,322.0,6273.0,368.4,327.1,United Center Express
16642,W,2001-01-04,82,2001-01-01,19622.7,511235.0,6745.8,11451.6,Kimball-Homan
5497,W,2001-01-04,35,2001-01-01,5977.7,153931.0,1810.1,3342.5,35th
177,W,2001-01-03,19,2001-01-01,322.0,6273.0,368.4,327.1,United Center Express
257,W,2001-01-02,171,2001-01-01,864.9,21573.0,178.3,413.2,U. of Chicago/Hyde Park
3735,W,2001-01-02,X49,2001-01-01,5131.8,112899.0,0.0,0.0,Western Express
670,W,2001-01-03,55N,2001-01-01,1071.8,24237.0,0.0,164.4,55th/Narragansett
3682,W,2001-01-04,97,2001-01-01,3681.4,95096.0,1167.5,2066.7,Skokie
3083,W,2001-01-04,125,2001-01-01,2690.8,59197.0,0.0,0.0,Water Tower Express
10725,W,2001-01-03,74,2001-01-01,12842.3,351804.0,5968.0,9858.6,Fullerton
6635,W,2001-01-04,75,2001-01-01,7081.7,188676.0,2795.5,4725.3,74th-75th
6524,W,2001-01-02,65,2001-01-01,6695.3,169020.0,1805.7,3173.9,Grand
5752,W,2001-01-04,95E,2001-01-01,5787.1,160511.0,3014.3,4530.5,93rd-95th
13997,W,2001-01-02,29,2001-01-01,16328.2,451955.0,8537.9,12511.5,State
22725,W,2001-01-04,151,2001-01-01,23604.8,634324.0,11694.7,14136.3,Sheridan
4355,U,2001-01-01,62,2001-01-01,14926.0,379135.0,4667.4,6856.3,Archer
89,W,2001-01-04,25,2001-01-01,144.8,3186.0,0.0,0.0,West Cermak
1095,W,2001-01-04,121,2001-01-01,1210.6,26633.0,0.0,0.0,Union/Wacker Express
1173,W,2001-01-04,54A,2001-01-01,1281.3,28188.0,0.0,0.0,North Cicero/Skokie Blvd.
5261,W,2001-01-03,35,2001-01-01,5977.7,153931.0,1810.1,3342.5,35th
186,U,2001-01-01,201,2001-01-01,1275.3,31865.0,268.9,615.9,Central/Ridge
3120,W,2001-01-03,103,2001-01-01,3704.9,93121.0,1071.0,1564.8,West 103rd
4923,W,2001-01-02,35,2001-01-01,5977.7,153931.0,1810.1,3342.5,35th
3510,W,2001-01-03,90,2001-01-01,3880.4,104289.0,1382.3,3002.1,Harlem
232,W,2001-01-05,25,2001-01-01,144.8,3186.0,0.0,0.0,West Cermak
691,W,2001-01-02,120,2001-01-01,635.5,13982.0,0.0,0.0,Ogilvie/Wacker Express
7886,W,2001-01-03,14,2001-01-01,8484.3,186655.0,0.0,0.0,Jeffery Express
1734,U,2001-01-01,152,2001-01-01,10738.1,265503.0,2287.1,4457.2,Addison
16796,W,2001-01-04,6,2001-01-01,18443.0,493926.0,7165.6,13088.2,Jackson Park Express
376,W,2001-01-02,17,2001-01-01,514.5,11319.0,0.0,0.0,Westchester
